userId,placeId,rating
1,1923,3.5
1,1525,3.5
1,89,3.5
1,1428,3.5
1,775,3.5
1,644,3.5
1,1771,4.0
1,468,4.0
1,1721,4.0
1,605,4.0
1,1480,4.0
1,1189,4.0
1,821,4.0
1,1626,3.5
1,1593,3.5
1,153,4.0
1,932,3.5
1,1037,3.5
1,1025,3.0
1,1474,3.5
1,988,3.5
1,349,3.5
1,123,4.0
1,699,4.0
1,1763,3.5
1,1592,3.5
1,224,4.0
1,3,4.0
1,669,3.5
1,543,3.5
1,1557,4.5
1,877,4.5
1,454,4.0
1,2083,3.0
1,580,3.5
1,128,4.0
1,1492,4.0
1,881,3.5
1,1309,4.0
1,1231,3.5
1,1540,4.0
1,1065,3.0
1,500,3.5
1,1839,4.0
1,982,4.0
1,392,4.0
1,249,3.5
1,602,3.5
1,1400,4.0
1,1795,4.0
1,1997,3.5
1,1677,3.0
1,1843,4.0
1,1590,4.0
1,1950,3.5
1,1502,3.5
1,1727,4.0
1,625,3.0
1,1831,4.0
1,574,4.0
1,2039,3.0
1,583,3.5
1,246,3.5
1,963,3.5
1,470,3.5
1,999,4.0
1,631,3.5
1,1608,3.5
1,1062,4.0
1,1215,4.0
1,799,4.0
1,757,4.0
1,1355,4.0
1,739,4.0
1,2031,4.0
1,1031,4.0
1,561,4.0
1,291,3.5
1,1074,3.5
1,1385,4.0
1,1301,4.0
1,265,4.0
1,1426,4.0
1,1554,3.5
1,1259,3.5
1,308,3.5
1,980,3.5
1,790,3.5
1,648,3.5
1,1242,3.0
1,209,4.0
1,76,3.5
1,36,4.0
1,1381,3.5
1,1836,4.0
1,1746,3.5
1,1931,4.0
1,772,4.0
1,280,3.5
1,1024,3.0
1,1820,3.5
1,1110,4.0
1,846,4.0
1,743,3.5
1,1060,3.5
1,208,3.5
1,2053,4.0
1,1745,4.0
1,1199,4.0
1,1033,4.0
1,546,3.0
1,1555,4.0
1,398,3.5
1,111,4.0
1,117,4.0
1,479,3.5
1,1519,4.0
1,1970,3.0
1,1225,3.5
1,1601,4.0
1,1847,3.5
1,1339,4.0
1,1126,4.0
1,1288,3.5
1,136,4.0
1,1116,3.5
1,638,4.0
1,1714,4.0
1,1425,3.0
1,1922,3.5
1,1305,3.5
1,189,5.0
1,1477,4.0
1,1023,4.0
1,399,3.0
1,4,3.5
1,1928,4.0
1,694,4.0
1,1634,3.5
1,1951,4.0
1,987,4.0
1,1175,3.5
1,1587,5.0
1,1205,3.5
1,1625,4.0
1,1452,3.5
1,1170,4.0
1,1036,3.5
1,770,4.0
1,78,4.0
1,278,3.5
1,979,4.0
1,456,3.5
1,1144,3.5
1,1715,3.0
1,563,3.5
1,1685,3.5
1,217,4.0
1,994,5.0
1,1123,3.5
1,403,3.5
1,1911,3.5
1,1018,4.0
1,1380,4.0
1,62,3.5
1,557,4.0
1,700,3.0
1,977,4.0
1,1546,4.0
1,192,3.5
1,476,5.0
1,1603,4.5
1,390,3.5
1,2017,4.0
1,1924,4.0
2,1483,4.0
2,1101,5.0
2,737,5.0
2,1528,4.0
2,1860,3.0
2,67,5.0
2,423,5.0
2,1716,3.0
2,114,5.0
2,468,5.0
2,848,5.0
2,2087,2.0
2,445,4.0
2,1268,5.0
2,1539,3.0
2,1106,5.0
2,1841,5.0
2,890,5.0
2,1034,5.0
2,986,5.0
2,451,5.0
2,2019,5.0
2,944,5.0
2,1692,5.0
2,1487,4.0
2,506,4.0
2,1293,5.0
2,962,3.0
2,807,2.0
2,449,2.0
2,1776,2.0
2,1128,2.0
2,1320,3.0
2,2057,5.0
2,1154,2.0
2,723,2.0
2,1714,4.0
2,278,4.0
2,1654,2.0
2,2007,3.0
2,1020,5.0
2,1663,4.0
2,1113,4.0
2,1790,3.0
2,450,4.0
2,1751,5.0
2,911,5.0
2,1875,3.0
2,973,4.0
2,241,3.0
2,477,4.0
2,1897,4.0
2,664,4.0
2,1390,3.0
2,1597,4.0
2,1223,4.0
2,200,5.0
2,1340,5.0
2,2075,5.0
2,561,4.0
2,1742,5.0
3,170,4.0
3,1980,3.0
3,5,4.0
3,1637,5.0
3,1061,3.0
3,1414,2.0
3,236,5.0
3,305,3.0
3,1205,5.0
3,1290,5.0
3,603,5.0
3,314,5.0
3,1105,5.0
3,1528,3.0
3,1775,3.0
3,262,3.0
3,644,5.0
3,598,5.0
3,1737,5.0
3,49,2.0
3,561,5.0
3,499,4.0
3,533,5.0
3,1285,4.0
3,1719,3.0
3,1912,3.0
3,87,4.0
3,1337,5.0
3,686,5.0
3,78,3.0
3,119,4.0
3,460,5.0
3,625,5.0
3,841,3.0
3,1255,3.0
3,1013,5.0
3,844,5.0
3,2054,4.0
3,1801,4.0
3,512,5.0
3,652,5.0
3,1588,4.0
3,2027,5.0
3,1446,4.0
3,475,4.0
3,145,3.0
3,1085,5.0
3,861,3.0
3,1424,2.0
3,1650,4.0
3,1146,5.0
3,670,5.0
3,1891,5.0
3,1070,4.0
3,341,4.0
3,7,5.0
3,129,5.0
3,1442,5.0
3,537,5.0
3,320,5.0
3,430,4.0
3,1360,4.0
3,1036,5.0
3,552,5.0
3,816,5.0
3,1983,3.0
3,344,3.0
3,1985,5.0
3,153,5.0
3,574,5.0
3,1270,5.0
3,1755,5.0
3,216,5.0
3,260,5.0
3,1582,5.0
3,1160,5.0
3,1176,5.0
3,1802,4.0
3,1157,5.0
3,1466,5.0
3,719,2.0
3,708,5.0
3,1647,4.0
3,1059,5.0
3,494,3.0
3,1832,4.0
3,1307,4.0
3,2003,5.0
3,1919,3.0
3,121,4.0
3,239,5.0
3,593,5.0
3,1168,4.0
3,1501,3.0
3,1658,4.0
3,1952,4.0
3,1704,4.0
3,1174,4.0
3,1493,4.0
3,1882,5.0
3,2020,4.0
3,462,4.0
3,1275,3.0
3,1712,3.0
3,714,5.0
3,741,4.0
3,810,4.0
3,140,5.0
3,789,4.0
3,1003,4.0
3,866,5.0
3,709,3.0
3,214,3.0
3,913,4.0
3,372,4.0
3,420,4.0
3,1460,5.0
3,871,3.0
3,2091,4.0
3,1605,5.0
3,202,5.0
3,555,4.0
3,2056,5.0
3,1807,5.0
3,1177,4.0
3,331,5.0
3,1805,4.0
3,582,5.0
3,660,4.0
3,1498,4.0
3,859,4.0
3,200,4.0
3,1326,5.0
3,1600,4.0
3,1436,4.0
3,1888,5.0
3,981,4.0
3,1849,4.0
3,1665,4.0
3,1473,5.0
3,2074,4.0
3,802,3.0
3,572,4.0
3,1629,3.0
3,2065,1.0
3,2059,4.0
3,1655,3.0
3,263,5.0
3,88,3.0
3,799,4.0
3,1376,4.0
3,210,5.0
3,2099,4.0
3,250,3.0
3,1769,1.0
3,1902,3.0
3,1758,3.0
3,1103,4.0
3,760,1.0
3,1242,4.0
3,1138,3.0
3,1672,5.0
3,1289,4.0
3,1119,4.0
3,949,5.0
3,634,5.0
3,1867,4.0
3,1530,4.0
3,1733,3.0
3,409,5.0
3,1221,3.0
3,1573,3.0
3,1772,4.0
3,646,5.0
3,933,4.0
3,2032,4.0
3,285,4.0
3,1574,5.0
3,2061,5.0
3,103,2.0
3,2055,5.0
3,1881,5.0
3,1016,4.0
3,1151,4.0
3,235,4.0
3,316,4.0
3,707,5.0
4,1322,3.0
4,1526,4.0
4,1418,3.0
4,1437,1.0
4,82,3.0
4,1104,3.0
4,273,4.0
4,1338,4.0
4,1089,3.0
4,1341,4.0
4,1397,4.0
4,1771,4.0
4,1288,3.0
4,759,3.0
4,48,4.0
4,1461,3.0
4,1625,5.0
4,1998,4.0
4,1537,4.0
4,1202,3.0
4,1020,4.0
4,1547,3.0
4,879,3.0
4,938,4.0
4,366,4.0
4,1938,4.0
4,425,4.0
