,userId,placeId,rating
0,1,30,3.35
1,1,1182,3.85
2,1,1202,3.6
3,1,946,3.5
4,1,1927,2.5
5,1,210,3.3
6,1,1016,3.1
7,1,46,4.05
8,1,1410,3.3
9,1,102,3.3
10,1,115,3.85
11,1,1994,2.8
12,1,1142,3.8
13,1,1796,3.9
14,1,1878,3.25
15,1,2005,4.2
16,1,348,4.4
17,1,2030,2.8
18,1,272,4.3
19,1,1058,3.65
20,1,873,3.75
21,1,1643,4.6
22,1,1634,3.95
23,1,649,2.8
24,1,610,3.7
25,1,491,4.05
26,1,657,3.95
27,1,245,3.05
28,1,632,4.5
29,1,459,4.1
30,1,248,3.35
31,1,156,3.85
32,1,1412,4.4
33,1,364,4.05
34,1,505,2.5
35,1,1889,3.95
36,1,831,3.05
37,1,167,2.65
38,1,1226,2.6
39,1,1281,2.5
40,1,1897,3.9
41,1,370,2.7
42,1,903,3.75
43,1,827,4.5
44,1,993,4.2
45,1,1729,2.6
46,1,1480,2.8
47,1,550,3.65
48,1,87,3.55
49,1,1482,2.65
50,1,1408,4.55
51,1,301,4.25
52,1,1765,3.9
53,1,1704,3.55
54,1,490,4.25
55,1,1324,3.15
56,1,1240,2.7
57,1,1691,3.25
58,1,1372,2.85
59,1,5,4.05
60,1,739,3.3
61,1,1692,4.6
62,1,23,4.25
63,1,1103,3.9
64,1,662,3.95
65,1,960,3.35
66,1,1820,3.1
67,1,1343,4.15
68,1,1802,4.7
69,1,629,4.1
70,1,557,4.5
71,1,1898,2.55
72,1,803,3.5
73,1,1165,2.9
74,1,1609,3.45
75,1,625,3.7
76,1,1652,2.85
77,1,690,3.1
78,1,1893,3.65
79,1,422,3.95
80,1,353,3.0
81,1,771,2.95
82,1,1474,4.15
83,1,1612,4.1
84,1,1128,4.1
85,1,919,3.75
86,1,96,3.1
87,1,659,3.45
88,1,1136,2.95
89,1,1665,2.95
90,1,1395,4.1
91,1,1755,3.85
92,1,524,3.35
93,1,1066,4.55
94,1,1342,3.55
